TIME2,ZFuel(JCLN|Peak),ZClad(JNEN|Peak),ZCoolAVG(JNCN|Peak),ZStructure(JNSN),ZRadProf,TCoolAvg(JNCN|Peak),TClad(JNEN|Peak),TFuel(JCLN|Peak),TSat @ TCool,TFRAC,TCladMid(JNEN on MZC),Clad Melt?,TCoolMZC(JNCN),TStrInnr(JNSN),Outlet Flow,Inlet Flow,Outlet Temp,Inlet Temp,
 0.50000000E+000, 0.16875000E+001, 0.19375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.80172874E+003, 0.83290787E+003, 0.10098031E+004, 0.12333637E+004, 0.00000000E+000, 0.80206189E+003, 0.00000000E+000, 0.80172882E+003, 0.80166090E+003, 0.52839272E+000, 0.52839272E+000, 0.80172821E+003, 0.62815000E+003,
 0.10000000E+001, 0.16875000E+001, 0.19375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.80173888E+003, 0.83292152E+003, 0.10098072E+004, 0.12333610E+004, 0.00000000E+000, 0.80207035E+003, 0.00000000E+000, 0.80173910E+003, 0.80166983E+003, 0.52832821E+000, 0.52832821E+000, 0.80173718E+003, 0.62815000E+003,
 0.15000000E+001, 0.16875000E+001, 0.19375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.80175504E+003, 0.83293884E+003, 0.10098162E+004, 0.12333570E+004, 0.00000000E+000, 0.80208499E+003, 0.00000000E+000, 0.80175534E+003, 0.80168434E+003, 0.52825754E+000, 0.52825754E+000, 0.80175238E+003, 0.62815000E+003,
 0.20000000E+001, 0.16875000E+001, 0.19375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.80177424E+003, 0.83295777E+003, 0.10098287E+004, 0.12333525E+004, 0.00000000E+000, 0.80210319E+003, 0.00000000E+000, 0.80177459E+003, 0.80170195E+003, 0.52819022E+000, 0.52819022E+000, 0.80177089E+003, 0.62815000E+003,
 0.25000000E+001, 0.16875000E+001, 0.19375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.80179502E+003, 0.83297685E+003, 0.10098432E+004, 0.12333484E+004, 0.00000000E+000, 0.80212339E+003, 0.00000000E+000, 0.80179540E+003, 0.80172142E+003, 0.52813638E+000, 0.52813638E+000, 0.80179124E+003, 0.62814996E+003,
 0.30000000E+001, 0.16875000E+001, 0.19375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.80181495E+003, 0.83299367E+003, 0.10098581E+004, 0.12333448E+004, 0.00000000E+000, 0.80214338E+003, 0.00000000E+000, 0.80181530E+003, 0.80174054E+003, 0.52809407E+000, 0.52809407E+000, 0.80181118E+003, 0.62814949E+003,
 0.35000000E+001, 0.16875000E+001, 0.19375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.80183276E+003, 0.83300806E+003, 0.10098721E+004, 0.12333418E+004, 0.00000000E+000, 0.80216161E+003, 0.00000000E+000, 0.80183308E+003, 0.80175808E+003, 0.52806161E+000, 0.52806161E+000, 0.80182921E+003, 0.62814830E+003,
 0.40000000E+001, 0.16875000E+001, 0.19375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.80184800E+003, 0.83301965E+003, 0.10098843E+004, 0.12333392E+004, 0.00000000E+000, 0.80217749E+003, 0.00000000E+000, 0.80184828E+003, 0.80177349E+003, 0.52803682E+000, 0.52803682E+000, 0.80184484E+003, 0.62814626E+003,
 0.45000000E+001, 0.16875000E+001, 0.19375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.80186038E+003, 0.83302860E+003, 0.10098945E+004, 0.12333369E+004, 0.00000000E+000, 0.80219062E+003, 0.00000000E+000, 0.80186062E+003, 0.80178638E+003, 0.52801792E+000, 0.52801792E+000, 0.80185769E+003, 0.62814339E+003,
 0.50000000E+001, 0.16875000E+001, 0.19375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.80187004E+003, 0.83303498E+003, 0.10099025E+004, 0.12333351E+004, 0.00000000E+000, 0.80220103E+003, 0.00000000E+000, 0.80187023E+003, 0.80179676E+003, 0.52800352E+000, 0.52800352E+000, 0.80186784E+003, 0.62813979E+003,
