TIME2,ZFuel(JCLN|Peak),ZClad(JNEN|Peak),ZCoolAVG(JNCN|Peak),ZStructure(JNSN),ZRadProf,TCoolAvg(JNCN|Peak),TClad(JNEN|Peak),TFuel(JCLN|Peak),TSat @ TCool,TFRAC,TCladMid(JNEN on MZC),Clad Melt?,TCoolMZC(JNCN),TStrInnr(JNSN),Outlet Flow,Inlet Flow,Outlet Temp,Inlet Temp,
 0.50000000E+000, 0.29375000E+001, 0.29375000E+001, 0.31100000E+001, 0.00000000E+000, 0.00000000E+000, 0.80568416E+003, 0.79510323E+003, 0.79619451E+003, 0.12051689E+004, 0.00000000E+000, 0.79498370E+003, 0.00000000E+000, 0.80568423E+003, 0.79453559E+003, 0.15816433E-002, 0.15816433E-002, 0.80568413E+003, 0.62815000E+003,
 0.10000000E+001, 0.29375000E+001, 0.29375000E+001, 0.31100000E+001, 0.00000000E+000, 0.00000000E+000, 0.80568418E+003, 0.79510324E+003, 0.79619451E+003, 0.12051734E+004, 0.00000000E+000, 0.79498371E+003, 0.00000000E+000, 0.80568440E+003, 0.79453561E+003, 0.15814567E-002, 0.15814567E-002, 0.80568412E+003, 0.62815000E+003,
 0.15000000E+001, 0.29375000E+001, 0.29375000E+001, 0.31100000E+001, 0.00000000E+000, 0.00000000E+000, 0.80568422E+003, 0.79510327E+003, 0.79619453E+003, 0.12051768E+004, 0.00000000E+000, 0.79498374E+003, 0.00000000E+000, 0.80568462E+003, 0.79453564E+003, 0.15812552E-002, 0.15812552E-002, 0.80568415E+003, 0.62815000E+003,
 0.20000000E+001, 0.29375000E+001, 0.29375000E+001, 0.31100000E+001, 0.00000000E+000, 0.00000000E+000, 0.80568428E+003, 0.79510331E+003, 0.79619455E+003, 0.12051791E+004, 0.00000000E+000, 0.79498378E+003, 0.00000000E+000, 0.80568490E+003, 0.79453568E+003, 0.15810629E-002, 0.15810629E-002, 0.80568419E+003, 0.62815000E+003,
 0.25000000E+001, 0.29375000E+001, 0.29375000E+001, 0.31100000E+001, 0.00000000E+000, 0.00000000E+000, 0.80568435E+003, 0.79510336E+003, 0.79619457E+003, 0.12051804E+004, 0.00000000E+000, 0.79498384E+003, 0.00000000E+000, 0.80568523E+003, 0.79453573E+003, 0.15809071E-002, 0.15809071E-002, 0.80568421E+003, 0.62814981E+003,
 0.30000000E+001, 0.29375000E+001, 0.29375000E+001, 0.31100000E+001, 0.00000000E+000, 0.00000000E+000, 0.80568443E+003, 0.79510341E+003, 0.79619461E+003, 0.12051810E+004, 0.00000000E+000, 0.79498390E+003, 0.00000000E+000, 0.80568556E+003, 0.79453579E+003, 0.15807814E-002, 0.15807814E-002, 0.80568424E+003, 0.62814918E+003,
 0.35000000E+001, 0.29375000E+001, 0.29375000E+001, 0.31100000E+001, 0.00000000E+000, 0.00000000E+000, 0.80568451E+003, 0.79510348E+003, 0.79619466E+003, 0.12051813E+004, 0.00000000E+000, 0.79498396E+003, 0.00000000E+000, 0.80568584E+003, 0.79453585E+003, 0.15806824E-002, 0.15806824E-002, 0.80568425E+003, 0.62814789E+003,
 0.40000000E+001, 0.29375000E+001, 0.29375000E+001, 0.31100000E+001, 0.00000000E+000, 0.00000000E+000, 0.80568458E+003, 0.79510355E+003, 0.79619471E+003, 0.12051812E+004, 0.00000000E+000, 0.79498403E+003, 0.00000000E+000, 0.80568610E+003, 0.79453592E+003, 0.15806048E-002, 0.15806048E-002, 0.80568422E+003, 0.62814584E+003,
 0.45000000E+001, 0.29375000E+001, 0.29375000E+001, 0.31100000E+001, 0.00000000E+000, 0.00000000E+000, 0.80568464E+003, 0.79510362E+003, 0.79619477E+003, 0.12051811E+004, 0.00000000E+000, 0.79498411E+003, 0.00000000E+000, 0.80568635E+003, 0.79453599E+003, 0.15805442E-002, 0.15805442E-002, 0.80568416E+003, 0.62814302E+003,
 0.50000000E+001, 0.29375000E+001, 0.29375000E+001, 0.31100000E+001, 0.00000000E+000, 0.00000000E+000, 0.80568468E+003, 0.79510370E+003, 0.79619483E+003, 0.12051809E+004, 0.00000000E+000, 0.79498419E+003, 0.00000000E+000, 0.80568663E+003, 0.79453606E+003, 0.15804971E-002, 0.15804971E-002, 0.80568410E+003, 0.62813951E+003,
 0.55000000E+001, 0.29375000E+001, 0.29375000E+001, 0.31100000E+001, 0.00000000E+000, 0.00000000E+000, 0.80568472E+003, 0.79510378E+003, 0.79619490E+003, 0.12051807E+004, 0.00000000E+000, 0.79498426E+003, 0.00000000E+000, 0.80568692E+003, 0.79453613E+003, 0.15804608E-002, 0.15804608E-002, 0.80568407E+003, 0.62813545E+003,
 0.60000000E+001, 0.29375000E+001, 0.29375000E+001, 0.31100000E+001, 0.00000000E+000, 0.00000000E+000, 0.80568476E+003, 0.79510386E+003, 0.79619498E+003, 0.12051805E+004, 0.00000000E+000, 0.79498434E+003, 0.00000000E+000, 0.80568723E+003, 0.79453621E+003, 0.15804330E-002, 0.15804330E-002, 0.80568407E+003, 0.62813097E+003,
 0.65000000E+001, 0.29375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.80568484E+003, 0.79510393E+003, 0.79619505E+003, 0.12057264E+004, 0.00000000E+000, 0.79498442E+003, 0.00000000E+000, 0.80568755E+003, 0.79453628E+003, 0.15804119E-002, 0.15804119E-002, 0.80568408E+003, 0.62812625E+003,
 0.70000000E+001, 0.29375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.80568495E+003, 0.79510401E+003, 0.79619513E+003, 0.12057264E+004, 0.00000000E+000, 0.79498450E+003, 0.00000000E+000, 0.80568786E+003, 0.79453636E+003, 0.15803961E-002, 0.15803961E-002, 0.80568411E+003, 0.62812145E+003,
 0.75000000E+001, 0.29375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.80568506E+003, 0.79510409E+003, 0.79619520E+003, 0.12057265E+004, 0.00000000E+000, 0.79498457E+003, 0.00000000E+000, 0.80568816E+003, 0.79453643E+003, 0.15803847E-002, 0.15803847E-002, 0.80568413E+003, 0.62811671E+003,
