TIME2,ZFuel(JCLN|Peak),ZClad(JNEN|Peak),ZCoolAVG(JNCN|Peak),ZStructure(JNSN),ZRadProf,TCoolAvg(JNCN|Peak),TClad(JNEN|Peak),TFuel(JCLN|Peak),TSat @ TCool,TFRAC,TCladMid(JNEN on MZC),Clad Melt?,TCoolMZC(JNCN),TStrInnr(JNSN),Outlet Flow,Inlet Flow,Outlet Temp,Inlet Temp,
 0.50000000E+000, 0.29375000E+001, 0.29375000E+001, 0.31100000E+001, 0.00000000E+000, 0.00000000E+000, 0.80568416E+003, 0.79510323E+003, 0.79619451E+003, 0.12051689E+004, 0.00000000E+000, 0.79498370E+003, 0.00000000E+000, 0.80568423E+003, 0.79453559E+003, 0.15816436E-002, 0.15816436E-002, 0.80568413E+003, 0.62815000E+003,
 0.10000000E+001, 0.29375000E+001, 0.29375000E+001, 0.31100000E+001, 0.00000000E+000, 0.00000000E+000, 0.80568418E+003, 0.79510324E+003, 0.79619451E+003, 0.12051734E+004, 0.00000000E+000, 0.79498371E+003, 0.00000000E+000, 0.80568440E+003, 0.79453561E+003, 0.15814572E-002, 0.15814572E-002, 0.80568412E+003, 0.62815000E+003,
 0.15000000E+001, 0.29375000E+001, 0.29375000E+001, 0.31100000E+001, 0.00000000E+000, 0.00000000E+000, 0.80568422E+003, 0.79510327E+003, 0.79619453E+003, 0.12051768E+004, 0.00000000E+000, 0.79498374E+003, 0.00000000E+000, 0.80568462E+003, 0.79453564E+003, 0.15812562E-002, 0.15812562E-002, 0.80568415E+003, 0.62815000E+003,
 0.20000000E+001, 0.29375000E+001, 0.29375000E+001, 0.31100000E+001, 0.00000000E+000, 0.00000000E+000, 0.80568428E+003, 0.79510331E+003, 0.79619455E+003, 0.12051791E+004, 0.00000000E+000, 0.79498378E+003, 0.00000000E+000, 0.80568490E+003, 0.79453568E+003, 0.15810646E-002, 0.15810646E-002, 0.80568419E+003, 0.62815000E+003,
 0.25000000E+001, 0.29375000E+001, 0.29375000E+001, 0.31100000E+001, 0.00000000E+000, 0.00000000E+000, 0.80568435E+003, 0.79510336E+003, 0.79619457E+003, 0.12051804E+004, 0.00000000E+000, 0.79498383E+003, 0.00000000E+000, 0.80568523E+003, 0.79453573E+003, 0.15809097E-002, 0.15809097E-002, 0.80568421E+003, 0.62814981E+003,
 0.30000000E+001, 0.29375000E+001, 0.29375000E+001, 0.31100000E+001, 0.00000000E+000, 0.00000000E+000, 0.80568443E+003, 0.79510341E+003, 0.79619461E+003, 0.12051810E+004, 0.00000000E+000, 0.79498390E+003, 0.00000000E+000, 0.80568555E+003, 0.79453579E+003, 0.15807849E-002, 0.15807849E-002, 0.80568424E+003, 0.62814918E+003,
 0.35000000E+001, 0.29375000E+001, 0.29375000E+001, 0.31100000E+001, 0.00000000E+000, 0.00000000E+000, 0.80568451E+003, 0.79510348E+003, 0.79619466E+003, 0.12051813E+004, 0.00000000E+000, 0.79498396E+003, 0.00000000E+000, 0.80568583E+003, 0.79453585E+003, 0.15806869E-002, 0.15806869E-002, 0.80568425E+003, 0.62814789E+003,
 0.40000000E+001, 0.29375000E+001, 0.29375000E+001, 0.31100000E+001, 0.00000000E+000, 0.00000000E+000, 0.80568458E+003, 0.79510355E+003, 0.79619471E+003, 0.12051812E+004, 0.00000000E+000, 0.79498403E+003, 0.00000000E+000, 0.80568609E+003, 0.79453592E+003, 0.15806104E-002, 0.15806104E-002, 0.80568422E+003, 0.62814584E+003,
 0.45000000E+001, 0.29375000E+001, 0.29375000E+001, 0.31100000E+001, 0.00000000E+000, 0.00000000E+000, 0.80568464E+003, 0.79510362E+003, 0.79619477E+003, 0.12051811E+004, 0.00000000E+000, 0.79498411E+003, 0.00000000E+000, 0.80568634E+003, 0.79453599E+003, 0.15805508E-002, 0.15805508E-002, 0.80568416E+003, 0.62814302E+003,
 0.50000000E+001, 0.29375000E+001, 0.29375000E+001, 0.31100000E+001, 0.00000000E+000, 0.00000000E+000, 0.80568468E+003, 0.79510370E+003, 0.79619483E+003, 0.12051809E+004, 0.00000000E+000, 0.79498418E+003, 0.00000000E+000, 0.80568661E+003, 0.79453606E+003, 0.15805048E-002, 0.15805048E-002, 0.80568410E+003, 0.62813951E+003,
 0.55000000E+001, 0.29375000E+001, 0.29375000E+001, 0.31100000E+001, 0.00000000E+000, 0.00000000E+000, 0.80568472E+003, 0.79510377E+003, 0.79619490E+003, 0.12051807E+004, 0.00000000E+000, 0.79498426E+003, 0.00000000E+000, 0.80568691E+003, 0.79453613E+003, 0.15804695E-002, 0.15804695E-002, 0.80568407E+003, 0.62813545E+003,
 0.60000000E+001, 0.29375000E+001, 0.29375000E+001, 0.31100000E+001, 0.00000000E+000, 0.00000000E+000, 0.80568476E+003, 0.79510385E+003, 0.79619497E+003, 0.12051805E+004, 0.00000000E+000, 0.79498434E+003, 0.00000000E+000, 0.80568721E+003, 0.79453621E+003, 0.15804426E-002, 0.15804426E-002, 0.80568407E+003, 0.62813097E+003,
 0.65000000E+001, 0.29375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.80568484E+003, 0.79510393E+003, 0.79619504E+003, 0.12057264E+004, 0.00000000E+000, 0.79498442E+003, 0.00000000E+000, 0.80568753E+003, 0.79453628E+003, 0.15804224E-002, 0.15804224E-002, 0.80568408E+003, 0.62812625E+003,
 0.70000000E+001, 0.29375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.80568495E+003, 0.79510400E+003, 0.79619512E+003, 0.12057264E+004, 0.00000000E+000, 0.79498449E+003, 0.00000000E+000, 0.80568784E+003, 0.79453635E+003, 0.15804076E-002, 0.15804076E-002, 0.80568411E+003, 0.62812145E+003,
 0.75000000E+001, 0.29375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.80568506E+003, 0.79510408E+003, 0.79619519E+003, 0.12057265E+004, 0.00000000E+000, 0.79498456E+003, 0.00000000E+000, 0.80568813E+003, 0.79453642E+003, 0.15803969E-002, 0.15803969E-002, 0.80568413E+003, 0.62811671E+003,
 0.80000000E+001, 0.29375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.80568518E+003, 0.79510415E+003, 0.79619526E+003, 0.12057266E+004, 0.00000000E+000, 0.79498463E+003, 0.00000000E+000, 0.80568840E+003, 0.79453649E+003, 0.15803896E-002, 0.15803896E-002, 0.80568415E+003, 0.62811212E+003,
 0.85000000E+001, 0.29375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.80568530E+003, 0.79510422E+003, 0.79619533E+003, 0.12057268E+004, 0.00000000E+000, 0.79498470E+003, 0.00000000E+000, 0.80568864E+003, 0.79453656E+003, 0.15803849E-002, 0.15803849E-002, 0.80568416E+003, 0.62810777E+003,
 0.90000000E+001, 0.29375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.80568542E+003, 0.79510428E+003, 0.79619540E+003, 0.12057271E+004, 0.00000000E+000, 0.79498477E+003, 0.00000000E+000, 0.80568885E+003, 0.79453663E+003, 0.15803822E-002, 0.15803822E-002, 0.80568417E+003, 0.62810370E+003,
 0.95000000E+001, 0.29375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.80568555E+003, 0.79510435E+003, 0.79619546E+003, 0.12057274E+004, 0.00000000E+000, 0.79498483E+003, 0.00000000E+000, 0.80568903E+003, 0.79453669E+003, 0.15803812E-002, 0.15803812E-002, 0.80568416E+003, 0.62809994E+003,
 0.10000000E+002, 0.29375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.80568567E+003, 0.79510441E+003, 0.79619553E+003, 0.12057278E+004, 0.00000000E+000, 0.79498490E+003, 0.00000000E+000, 0.80568918E+003, 0.79453676E+003, 0.15803815E-002, 0.15803815E-002, 0.80568416E+003, 0.62809649E+003,
 0.10500000E+002, 0.29375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.80568580E+003, 0.79510447E+003, 0.79619558E+003, 0.12057282E+004, 0.00000000E+000, 0.79498496E+003, 0.00000000E+000, 0.80568931E+003, 0.79453682E+003, 0.15803827E-002, 0.15803827E-002, 0.80568416E+003, 0.62809334E+003,
 0.11000000E+002, 0.29375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.80568592E+003, 0.79510453E+003, 0.79619564E+003, 0.12057287E+004, 0.00000000E+000, 0.79498502E+003, 0.00000000E+000, 0.80568953E+003, 0.79453689E+003, 0.15800855E-002, 0.15800855E-002, 0.80568412E+003, 0.62809048E+003,
