TIME2,ZFuel(JCLN|Peak),ZClad(JNEN|Peak),ZCoolAVG(JNCN|Peak),ZStructure(JNSN),ZRadProf,TCoolAvg(JNCN|Peak),TClad(JNEN|Peak),TFuel(JCLN|Peak),TSat @ TCool,TFRAC,TCladMid(JNEN on MZC),Clad Melt?,TCoolMZC(JNCN),TStrInnr(JNSN),Outlet Flow,Inlet Flow,Outlet Temp,Inlet Temp,
 0.50000000E+000, 0.16875000E+001, 0.19375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.80172884E+003, 0.83290804E+003, 0.10098031E+004, 0.12333636E+004, 0.00000000E+000, 0.80206197E+003, 0.00000000E+000, 0.80172892E+003, 0.80166098E+003, 0.52839041E+000, 0.52839041E+000, 0.80172829E+003, 0.62815000E+003,
 0.10000000E+001, 0.16875000E+001, 0.19375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.80173947E+003, 0.83292287E+003, 0.10098084E+004, 0.12333608E+004, 0.00000000E+000, 0.80207084E+003, 0.00000000E+000, 0.80173970E+003, 0.80167035E+003, 0.52832428E+000, 0.52832428E+000, 0.80173768E+003, 0.62815000E+003,
 0.15000000E+001, 0.16875000E+001, 0.19375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.80175701E+003, 0.83294287E+003, 0.10098207E+004, 0.12333567E+004, 0.00000000E+000, 0.80208664E+003, 0.00000000E+000, 0.80175733E+003, 0.80168607E+003, 0.52824962E+000, 0.52824962E+000, 0.80175411E+003, 0.62815000E+003,
 0.20000000E+001, 0.16875000E+001, 0.19375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.80177887E+003, 0.83296613E+003, 0.10098385E+004, 0.12333519E+004, 0.00000000E+000, 0.80210720E+003, 0.00000000E+000, 0.80177926E+003, 0.80170606E+003, 0.52817732E+000, 0.52817732E+000, 0.80177506E+003, 0.62814999E+003,
 0.25000000E+001, 0.16875000E+001, 0.19375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.80180369E+003, 0.83299112E+003, 0.10098608E+004, 0.12333477E+004, 0.00000000E+000, 0.80213109E+003, 0.00000000E+000, 0.80180414E+003, 0.80172919E+003, 0.52811759E+000, 0.52811759E+000, 0.80179921E+003, 0.62814967E+003,
 0.30000000E+001, 0.16875000E+001, 0.19375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.80182885E+003, 0.83301489E+003, 0.10098852E+004, 0.12333439E+004, 0.00000000E+000, 0.80215600E+003, 0.00000000E+000, 0.80182930E+003, 0.80175313E+003, 0.52806921E+000, 0.52806921E+000, 0.80182417E+003, 0.62814869E+003,
 0.35000000E+001, 0.16875000E+001, 0.19375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.80185275E+003, 0.83303675E+003, 0.10099098E+004, 0.12333407E+004, 0.00000000E+000, 0.80218008E+003, 0.00000000E+000, 0.80185319E+003, 0.80177635E+003, 0.52803086E+000, 0.52803086E+000, 0.80184811E+003, 0.62814689E+003,
 0.40000000E+001, 0.16875000E+001, 0.19375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.80187445E+003, 0.83305571E+003, 0.10099331E+004, 0.12333380E+004, 0.00000000E+000, 0.80220229E+003, 0.00000000E+000, 0.80187484E+003, 0.80179788E+003, 0.52800064E+000, 0.52800064E+000, 0.80187009E+003, 0.62814425E+003,
 0.45000000E+001, 0.16875000E+001, 0.19375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.80189324E+003, 0.83307157E+003, 0.10099539E+004, 0.12333358E+004, 0.00000000E+000, 0.80222181E+003, 0.00000000E+000, 0.80189359E+003, 0.80181694E+003, 0.52797692E+000, 0.52797692E+000, 0.80188932E+003, 0.62814085E+003,
 0.50000000E+001, 0.16875000E+001, 0.19375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.80190890E+003, 0.83308404E+003, 0.10099715E+004, 0.12333341E+004, 0.00000000E+000, 0.80223831E+003, 0.00000000E+000, 0.80190920E+003, 0.80183323E+003, 0.52795835E+000, 0.52795835E+000, 0.80190552E+003, 0.62813681E+003,
 0.55000000E+001, 0.16875000E+001, 0.19375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.80192126E+003, 0.83309318E+003, 0.10099854E+004, 0.12333326E+004, 0.00000000E+000, 0.80225156E+003, 0.00000000E+000, 0.80192150E+003, 0.80184647E+003, 0.52794389E+000, 0.52794389E+000, 0.80191847E+003, 0.62813231E+003,
 0.60000000E+001, 0.16875000E+001, 0.19375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.80193041E+003, 0.83309906E+003, 0.10099955E+004, 0.12333316E+004, 0.00000000E+000, 0.80226160E+003, 0.00000000E+000, 0.80193060E+003, 0.80185666E+003, 0.52793267E+000, 0.52793267E+000, 0.80192823E+003, 0.62812752E+003,
