TIME2,ZFuel(JCLN|Peak),ZClad(JNEN|Peak),ZCoolAVG(JNCN|Peak),ZStructure(JNSN),ZRadProf,TCoolAvg(JNCN|Peak),TClad(JNEN|Peak),TFuel(JCLN|Peak),TSat @ TCool,TFRAC,TCladMid(JNEN on MZC),Clad Melt?,TCoolMZC(JNCN),TStrInnr(JNSN),Outlet Flow,Inlet Flow,Outlet Temp,Inlet Temp,
 0.10000000E+000, 0.19375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.83194839E+003, 0.83204031E+003, 0.85314317E+003, 0.12071505E+004, 0.00000000E+000, 0.83198703E+003, 0.00000000E+000, 0.83194839E+003, 0.83187046E+003, 0.10242023E+000, 0.10242023E+000, 0.83194838E+003, 0.62815000E+003,
 0.20000000E+000, 0.19375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.83194840E+003, 0.83204032E+003, 0.85314336E+003, 0.12071552E+004, 0.00000000E+000, 0.83198704E+003, 0.00000000E+000, 0.83194841E+003, 0.83187048E+003, 0.10242482E+000, 0.10242482E+000, 0.83194838E+003, 0.62815000E+003,
 0.30000000E+000, 0.19375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.83194841E+003, 0.83204034E+003, 0.85314382E+003, 0.12071554E+004, 0.00000000E+000, 0.83198706E+003, 0.00000000E+000, 0.83194842E+003, 0.83187050E+003, 0.10243827E+000, 0.10243827E+000, 0.83194838E+003, 0.62815000E+003,
 0.40000000E+000, 0.19375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.83194842E+003, 0.83204035E+003, 0.85314438E+003, 0.12071553E+004, 0.00000000E+000, 0.83198708E+003, 0.00000000E+000, 0.83194843E+003, 0.83187051E+003, 0.10243672E+000, 0.10243672E+000, 0.83194837E+003, 0.62815000E+003,
 0.50000000E+000, 0.19375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.83194845E+003, 0.83204037E+003, 0.85314499E+003, 0.12071562E+004, 0.00000000E+000, 0.83198710E+003, 0.00000000E+000, 0.83194845E+003, 0.83187053E+003, 0.10243295E+000, 0.10243295E+000, 0.83194837E+003, 0.62815000E+003,
 0.60000000E+000, 0.19375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.83194847E+003, 0.83204039E+003, 0.85314568E+003, 0.12071574E+004, 0.00000000E+000, 0.83198712E+003, 0.00000000E+000, 0.83194848E+003, 0.83187057E+003, 0.10243208E+000, 0.10243208E+000, 0.83194837E+003, 0.62815000E+003,
 0.70000000E+000, 0.19375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.83194850E+003, 0.83204043E+003, 0.85314642E+003, 0.12071584E+004, 0.00000000E+000, 0.83198716E+003, 0.00000000E+000, 0.83194852E+003, 0.83187061E+003, 0.10243104E+000, 0.10243104E+000, 0.83194838E+003, 0.62815000E+003,
 0.80000000E+000, 0.19375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.83194855E+003, 0.83204047E+003, 0.85314722E+003, 0.12071592E+004, 0.00000000E+000, 0.83198721E+003, 0.00000000E+000, 0.83194856E+003, 0.83187066E+003, 0.10242858E+000, 0.10242858E+000, 0.83194838E+003, 0.62815000E+003,
 0.90000000E+000, 0.19375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.83194860E+003, 0.83204052E+003, 0.85314808E+003, 0.12071601E+004, 0.00000000E+000, 0.83198727E+003, 0.00000000E+000, 0.83194863E+003, 0.83187073E+003, 0.10242570E+000, 0.10242570E+000, 0.83194839E+003, 0.62815000E+003,
 0.10000000E+001, 0.19375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.83194868E+003, 0.83204059E+003, 0.85314904E+003, 0.12071610E+004, 0.00000000E+000, 0.83198735E+003, 0.00000000E+000, 0.83194871E+003, 0.83187081E+003, 0.10242293E+000, 0.10242293E+000, 0.83194839E+003, 0.62815000E+003,
 0.11000000E+001, 0.19375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.83194876E+003, 0.83204067E+003, 0.85315010E+003, 0.12071617E+004, 0.00000000E+000, 0.83198744E+003, 0.00000000E+000, 0.83194880E+003, 0.83187091E+003, 0.10242013E+000, 0.10242013E+000, 0.83194840E+003, 0.62815000E+003,
 0.12000000E+001, 0.19375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.83194887E+003, 0.83204077E+003, 0.85315129E+003, 0.12071625E+004, 0.00000000E+000, 0.83198755E+003, 0.00000000E+000, 0.83194891E+003, 0.83187102E+003, 0.10241722E+000, 0.10241722E+000, 0.83194841E+003, 0.62815000E+003,
 0.13000000E+001, 0.19375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.83194900E+003, 0.83204089E+003, 0.85315261E+003, 0.12071631E+004, 0.00000000E+000, 0.83198769E+003, 0.00000000E+000, 0.83194905E+003, 0.83187116E+003, 0.10241431E+000, 0.10241431E+000, 0.83194843E+003, 0.62814999E+003,
 0.14000000E+001, 0.19375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.83194915E+003, 0.83204103E+003, 0.85315408E+003, 0.12071637E+004, 0.00000000E+000, 0.83198785E+003, 0.00000000E+000, 0.83194921E+003, 0.83187133E+003, 0.10241145E+000, 0.10241145E+000, 0.83194845E+003, 0.62814997E+003,
 0.15000000E+001, 0.19375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.83194932E+003, 0.83204120E+003, 0.85315570E+003, 0.12071643E+004, 0.00000000E+000, 0.83198803E+003, 0.00000000E+000, 0.83194939E+003, 0.83187151E+003, 0.10240867E+000, 0.10240867E+000, 0.83194848E+003, 0.62814994E+003,
 0.16000000E+001, 0.19375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.83194952E+003, 0.83204139E+003, 0.85315748E+003, 0.12071648E+004, 0.00000000E+000, 0.83198824E+003, 0.00000000E+000, 0.83194961E+003, 0.83187173E+003, 0.10240596E+000, 0.10240596E+000, 0.83194852E+003, 0.62814989E+003,
 0.17000000E+001, 0.19375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.83194976E+003, 0.83204161E+003, 0.85315943E+003, 0.12071652E+004, 0.00000000E+000, 0.83198849E+003, 0.00000000E+000, 0.83194985E+003, 0.83187198E+003, 0.10240334E+000, 0.10240334E+000, 0.83194857E+003, 0.62814982E+003,
 0.18000000E+001, 0.19375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.83195002E+003, 0.83204186E+003, 0.85316153E+003, 0.12071656E+004, 0.00000000E+000, 0.83198877E+003, 0.00000000E+000, 0.83195013E+003, 0.83187227E+003, 0.10240082E+000, 0.10240082E+000, 0.83194863E+003, 0.62814973E+003,
 0.19000000E+001, 0.19375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.83195033E+003, 0.83204215E+003, 0.85316379E+003, 0.12071660E+004, 0.00000000E+000, 0.83198908E+003, 0.00000000E+000, 0.83195045E+003, 0.83187259E+003, 0.10239839E+000, 0.10239839E+000, 0.83194870E+003, 0.62814961E+003,
 0.20000000E+001, 0.19375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.83195067E+003, 0.83204248E+003, 0.85316620E+003, 0.12071663E+004, 0.00000000E+000, 0.83198944E+003, 0.00000000E+000, 0.83195081E+003, 0.83187295E+003, 0.10239607E+000, 0.10239607E+000, 0.83194879E+003, 0.62814946E+003,
 0.21000000E+001, 0.19375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.83195106E+003, 0.83204285E+003, 0.85316877E+003, 0.12071665E+004, 0.00000000E+000, 0.83198985E+003, 0.00000000E+000, 0.83195122E+003, 0.83187336E+003, 0.10239385E+000, 0.10239385E+000, 0.83194889E+003, 0.62814928E+003,
 0.22000000E+001, 0.19375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.83195149E+003, 0.83204327E+003, 0.85317147E+003, 0.12071668E+004, 0.00000000E+000, 0.83199030E+003, 0.00000000E+000, 0.83195167E+003, 0.83187382E+003, 0.10239172E+000, 0.10239172E+000, 0.83194901E+003, 0.62814907E+003,
 0.23000000E+001, 0.19375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.83195198E+003, 0.83204373E+003, 0.85317432E+003, 0.12071669E+004, 0.00000000E+000, 0.83199080E+003, 0.00000000E+000, 0.83195218E+003, 0.83187432E+003, 0.10238969E+000, 0.10238969E+000, 0.83194916E+003, 0.62814883E+003,
 0.24000000E+001, 0.19375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.83195252E+003, 0.83204424E+003, 0.85317729E+003, 0.12071671E+004, 0.00000000E+000, 0.83199136E+003, 0.00000000E+000, 0.83195274E+003, 0.83187488E+003, 0.10238776E+000, 0.10238776E+000, 0.83194932E+003, 0.62814854E+003,
 0.25000000E+001, 0.19375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.83195311E+003, 0.83204481E+003, 0.85318038E+003, 0.12071672E+004, 0.00000000E+000, 0.83199197E+003, 0.00000000E+000, 0.83195336E+003, 0.83187549E+003, 0.10238591E+000, 0.10238591E+000, 0.83194952E+003, 0.62814823E+003,
 0.26000000E+001, 0.19375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.83195376E+003, 0.83204544E+003, 0.85318358E+003, 0.12071673E+004, 0.00000000E+000, 0.83199264E+003, 0.00000000E+000, 0.83195403E+003, 0.83187617E+003, 0.10238416E+000, 0.10238416E+000, 0.83194974E+003, 0.62814787E+003,
 0.27000000E+001, 0.19375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.83195448E+003, 0.83204613E+003, 0.85318688E+003, 0.12071674E+004, 0.00000000E+000, 0.83199338E+003, 0.00000000E+000, 0.83195478E+003, 0.83187690E+003, 0.10238249E+000, 0.10238249E+000, 0.83194999E+003, 0.62814748E+003,
 0.28000000E+001, 0.19375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.83195526E+003, 0.83204688E+003, 0.85319028E+003, 0.12071675E+004, 0.00000000E+000, 0.83199418E+003, 0.00000000E+000, 0.83195559E+003, 0.83187770E+003, 0.10238090E+000, 0.10238090E+000, 0.83195027E+003, 0.62814705E+003,
 0.29000000E+001, 0.19375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.83195611E+003, 0.83204769E+003, 0.85319376E+003, 0.12071675E+004, 0.00000000E+000, 0.83199506E+003, 0.00000000E+000, 0.83195646E+003, 0.83187856E+003, 0.10237939E+000, 0.10237939E+000, 0.83195059E+003, 0.62814658E+003,
 0.30000000E+001, 0.19375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.83195703E+003, 0.83204858E+003, 0.85319732E+003, 0.12071675E+004, 0.00000000E+000, 0.83199600E+003, 0.00000000E+000, 0.83195741E+003, 0.83187950E+003, 0.10237795E+000, 0.10237795E+000, 0.83195095E+003, 0.62814608E+003,
 0.31000000E+001, 0.19375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.83195802E+003, 0.83204953E+003, 0.85320095E+003, 0.12071675E+004, 0.00000000E+000, 0.83199701E+003, 0.00000000E+000, 0.83195843E+003, 0.83188050E+003, 0.10237659E+000, 0.10237659E+000, 0.83195135E+003, 0.62814554E+003,
 0.32000000E+001, 0.19375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.83195908E+003, 0.83205056E+003, 0.85320463E+003, 0.12071675E+004, 0.00000000E+000, 0.83199810E+003, 0.00000000E+000, 0.83195953E+003, 0.83188158E+003, 0.10237529E+000, 0.10237529E+000, 0.83195180E+003, 0.62814497E+003,
 0.33000000E+001, 0.19375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.83196022E+003, 0.83205167E+003, 0.85320837E+003, 0.12071675E+004, 0.00000000E+000, 0.83199927E+003, 0.00000000E+000, 0.83196071E+003, 0.83188273E+003, 0.10237406E+000, 0.10237406E+000, 0.83195229E+003, 0.62814436E+003,
 0.34000000E+001, 0.19375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.83196144E+003, 0.83205285E+003, 0.85321214E+003, 0.12071675E+004, 0.00000000E+000, 0.83200052E+003, 0.00000000E+000, 0.83196196E+003, 0.83188395E+003, 0.10237289E+000, 0.10237289E+000, 0.83195283E+003, 0.62814371E+003,
 0.35000000E+001, 0.19375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.83196274E+003, 0.83205410E+003, 0.85321595E+003, 0.12071674E+004, 0.00000000E+000, 0.83200184E+003, 0.00000000E+000, 0.83196330E+003, 0.83188525E+003, 0.10237178E+000, 0.10237178E+000, 0.83195342E+003, 0.62814304E+003,
 0.36000000E+001, 0.19375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.83196412E+003, 0.83205544E+003, 0.85321979E+003, 0.12071674E+004, 0.00000000E+000, 0.83200325E+003, 0.00000000E+000, 0.83196471E+003, 0.83188663E+003, 0.10237072E+000, 0.10237072E+000, 0.83195407E+003, 0.62814233E+003,
 0.37000000E+001, 0.19375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.83196558E+003, 0.83205686E+003, 0.85322364E+003, 0.12071673E+004, 0.00000000E+000, 0.83200474E+003, 0.00000000E+000, 0.83196621E+003, 0.83188809E+003, 0.10236972E+000, 0.10236972E+000, 0.83195478E+003, 0.62814159E+003,
 0.38000000E+001, 0.19375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.83196713E+003, 0.83205836E+003, 0.85322750E+003, 0.12071673E+004, 0.00000000E+000, 0.83200631E+003, 0.00000000E+000, 0.83196779E+003, 0.83188963E+003, 0.10236877E+000, 0.10236877E+000, 0.83195555E+003, 0.62814082E+003,
 0.39000000E+001, 0.19375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.83196875E+003, 0.83205994E+003, 0.85323137E+003, 0.12071672E+004, 0.00000000E+000, 0.83200796E+003, 0.00000000E+000, 0.83196945E+003, 0.83189124E+003, 0.10236786E+000, 0.10236786E+000, 0.83195637E+003, 0.62814002E+003,
 0.40000000E+001, 0.19375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.83197046E+003, 0.83206160E+003, 0.85323523E+003, 0.12071671E+004, 0.00000000E+000, 0.83200970E+003, 0.00000000E+000, 0.83197120E+003, 0.83189294E+003, 0.10236700E+000, 0.10236700E+000, 0.83195727E+003, 0.62813919E+003,
 0.41000000E+001, 0.19375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.83197225E+003, 0.83206334E+003, 0.85323909E+003, 0.12071671E+004, 0.00000000E+000, 0.83201151E+003, 0.00000000E+000, 0.83197303E+003, 0.83189471E+003, 0.10236619E+000, 0.10236619E+000, 0.83195822E+003, 0.62813834E+003,
 0.42000000E+001, 0.19375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.83197412E+003, 0.83206517E+003, 0.85324292E+003, 0.12071670E+004, 0.00000000E+000, 0.83201341E+003, 0.00000000E+000, 0.83197494E+003, 0.83189656E+003, 0.10236542E+000, 0.10236542E+000, 0.83195925E+003, 0.62813746E+003,
 0.43000000E+001, 0.19375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.83197607E+003, 0.83206707E+003, 0.85324674E+003, 0.12071669E+004, 0.00000000E+000, 0.83201539E+003, 0.00000000E+000, 0.83197693E+003, 0.83189849E+003, 0.10236469E+000, 0.10236469E+000, 0.83196034E+003, 0.62813656E+003,
 0.44000000E+001, 0.19375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.83197810E+003, 0.83206906E+003, 0.85325053E+003, 0.12071668E+004, 0.00000000E+000, 0.83201745E+003, 0.00000000E+000, 0.83197900E+003, 0.83190049E+003, 0.10236399E+000, 0.10236399E+000, 0.83196150E+003, 0.62813564E+003,
 0.45000000E+001, 0.19375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.83198022E+003, 0.83207113E+003, 0.85325428E+003, 0.12071667E+004, 0.00000000E+000, 0.83201959E+003, 0.00000000E+000, 0.83198114E+003, 0.83190257E+003, 0.10236334E+000, 0.10236334E+000, 0.83196273E+003, 0.62813470E+003,
 0.46000000E+001, 0.19375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.83198241E+003, 0.83207327E+003, 0.85325800E+003, 0.12071667E+004, 0.00000000E+000, 0.83202181E+003, 0.00000000E+000, 0.83198337E+003, 0.83190472E+003, 0.10236271E+000, 0.10236271E+000, 0.83196404E+003, 0.62813374E+003,
 0.47000000E+001, 0.19375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.83198467E+003, 0.83207549E+003, 0.85326168E+003, 0.12071666E+004, 0.00000000E+000, 0.83202410E+003, 0.00000000E+000, 0.83198567E+003, 0.83190695E+003, 0.10236212E+000, 0.10236212E+000, 0.83196542E+003, 0.62813276E+003,
 0.48000000E+001, 0.19375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.83198701E+003, 0.83207778E+003, 0.85326531E+003, 0.12071665E+004, 0.00000000E+000, 0.83202646E+003, 0.00000000E+000, 0.83198805E+003, 0.83190924E+003, 0.10236156E+000, 0.10236156E+000, 0.83196687E+003, 0.62813177E+003,
 0.49000000E+001, 0.19375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.83198942E+003, 0.83208015E+003, 0.85326889E+003, 0.12071664E+004, 0.00000000E+000, 0.83202890E+003, 0.00000000E+000, 0.83199049E+003, 0.83191161E+003, 0.10236103E+000, 0.10236103E+000, 0.83196839E+003, 0.62813076E+003,
 0.50000000E+001, 0.19375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.83199190E+003, 0.83208259E+003, 0.85327241E+003, 0.12071664E+004, 0.00000000E+000, 0.83203140E+003, 0.00000000E+000, 0.83199301E+003, 0.83191404E+003, 0.10236053E+000, 0.10236053E+000, 0.83196999E+003, 0.62812974E+003,
 0.51000000E+001, 0.19375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.83199445E+003, 0.83208509E+003, 0.85327588E+003, 0.12071663E+004, 0.00000000E+000, 0.83203397E+003, 0.00000000E+000, 0.83199559E+003, 0.83191653E+003, 0.10236006E+000, 0.10236006E+000, 0.83197166E+003, 0.62812872E+003,
 0.52000000E+001, 0.19375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.83199706E+003, 0.83208767E+003, 0.85327928E+003, 0.12071662E+004, 0.00000000E+000, 0.83203661E+003, 0.00000000E+000, 0.83199824E+003, 0.83191909E+003, 0.10235961E+000, 0.10235961E+000, 0.83197341E+003, 0.62812768E+003,
 0.53000000E+001, 0.19375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.83199974E+003, 0.83209030E+003, 0.85328262E+003, 0.12071662E+004, 0.00000000E+000, 0.83203931E+003, 0.00000000E+000, 0.83200095E+003, 0.83192170E+003, 0.10235918E+000, 0.10235918E+000, 0.83197522E+003, 0.62812664E+003,
 0.54000000E+001, 0.19375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.83200248E+003, 0.83209300E+003, 0.85328590E+003, 0.12071661E+004, 0.00000000E+000, 0.83204207E+003, 0.00000000E+000, 0.83200371E+003, 0.83192438E+003, 0.10235878E+000, 0.10235878E+000, 0.83197711E+003, 0.62812560E+003,
 0.55000000E+001, 0.19375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.83200527E+003, 0.83209576E+003, 0.85328910E+003, 0.12071660E+004, 0.00000000E+000, 0.83204488E+003, 0.00000000E+000, 0.83200653E+003, 0.83192710E+003, 0.10235840E+000, 0.10235840E+000, 0.83197907E+003, 0.62812455E+003,
 0.56000000E+001, 0.19375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.83200811E+003, 0.83209857E+003, 0.85329223E+003, 0.12071660E+004, 0.00000000E+000, 0.83204774E+003, 0.00000000E+000, 0.83200941E+003, 0.83192988E+003, 0.10235804E+000, 0.10235804E+000, 0.83198109E+003, 0.62812351E+003,
 0.57000000E+001, 0.19375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.83201101E+003, 0.83210143E+003, 0.85329529E+003, 0.12071659E+004, 0.00000000E+000, 0.83205066E+003, 0.00000000E+000, 0.83201233E+003, 0.83193271E+003, 0.10235770E+000, 0.10235770E+000, 0.83198319E+003, 0.62812246E+003,
 0.58000000E+001, 0.19375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.83201395E+003, 0.83210434E+003, 0.85329827E+003, 0.12071659E+004, 0.00000000E+000, 0.83205362E+003, 0.00000000E+000, 0.83201530E+003, 0.83193558E+003, 0.10235738E+000, 0.10235738E+000, 0.83198535E+003, 0.62812142E+003,
 0.59000000E+001, 0.19375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.83201694E+003, 0.83210730E+003, 0.85330117E+003, 0.12071658E+004, 0.00000000E+000, 0.83205662E+003, 0.00000000E+000, 0.83201831E+003, 0.83193849E+003, 0.10235708E+000, 0.10235708E+000, 0.83198758E+003, 0.62812038E+003,
