TIME2,ZFuel(JCLN|Peak),ZClad(JNEN|Peak),ZCoolAVG(JNCN|Peak),ZStructure(JNSN),ZRadProf,TCoolAvg(JNCN|Peak),TClad(JNEN|Peak),TFuel(JCLN|Peak),TSat @ TCool,TFRAC,TCladMid(JNEN on MZC),Clad Melt?,TCoolMZC(JNCN),TStrInnr(JNSN),Outlet Flow,Inlet Flow,Outlet Temp,Inlet Temp,
 0.50000000E+000, 0.29375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.78184213E+003, 0.78175149E+003, 0.78214325E+003, 0.12058434E+004, 0.00000000E+000, 0.78169095E+003, 0.00000000E+000, 0.78184214E+003, 0.78154760E+003, 0.30917129E-001, 0.30917129E-001, 0.78184211E+003, 0.62815000E+003,
 0.10000000E+001, 0.29375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.78184218E+003, 0.78175153E+003, 0.78214328E+003, 0.12058478E+004, 0.00000000E+000, 0.78169100E+003, 0.00000000E+000, 0.78184219E+003, 0.78154764E+003, 0.30913480E-001, 0.30913480E-001, 0.78184212E+003, 0.62815000E+003,
 0.15000000E+001, 0.29375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.78184225E+003, 0.78175161E+003, 0.78214334E+003, 0.12058512E+004, 0.00000000E+000, 0.78169108E+003, 0.00000000E+000, 0.78184228E+003, 0.78154771E+003, 0.30909540E-001, 0.30909540E-001, 0.78184214E+003, 0.62815000E+003,
 0.20000000E+001, 0.29375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.78184236E+003, 0.78175172E+003, 0.78214343E+003, 0.12058534E+004, 0.00000000E+000, 0.78169119E+003, 0.00000000E+000, 0.78184240E+003, 0.78154781E+003, 0.30905776E-001, 0.30905776E-001, 0.78184219E+003, 0.62814999E+003,
 0.25000000E+001, 0.29375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.78184250E+003, 0.78175187E+003, 0.78214356E+003, 0.12058547E+004, 0.00000000E+000, 0.78169134E+003, 0.00000000E+000, 0.78184254E+003, 0.78154795E+003, 0.30902724E-001, 0.30902724E-001, 0.78184225E+003, 0.62814968E+003,
 0.30000000E+001, 0.29375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.78184267E+003, 0.78175205E+003, 0.78214373E+003, 0.12058554E+004, 0.00000000E+000, 0.78169153E+003, 0.00000000E+000, 0.78184272E+003, 0.78154813E+003, 0.30900265E-001, 0.30900265E-001, 0.78184234E+003, 0.62814871E+003,
 0.35000000E+001, 0.29375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.78184287E+003, 0.78175229E+003, 0.78214394E+003, 0.12058556E+004, 0.00000000E+000, 0.78169177E+003, 0.00000000E+000, 0.78184293E+003, 0.78154835E+003, 0.30898331E-001, 0.30898331E-001, 0.78184245E+003, 0.62814694E+003,
 0.40000000E+001, 0.29375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.78184311E+003, 0.78175257E+003, 0.78214418E+003, 0.12058555E+004, 0.00000000E+000, 0.78169206E+003, 0.00000000E+000, 0.78184319E+003, 0.78154863E+003, 0.30896818E-001, 0.30896818E-001, 0.78184259E+003, 0.62814432E+003,
 0.45000000E+001, 0.29375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.78184340E+003, 0.78175291E+003, 0.78214448E+003, 0.12058554E+004, 0.00000000E+000, 0.78169241E+003, 0.00000000E+000, 0.78184349E+003, 0.78154897E+003, 0.30895642E-001, 0.30895642E-001, 0.78184277E+003, 0.62814093E+003,
 0.50000000E+001, 0.29375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.78184373E+003, 0.78175333E+003, 0.78214484E+003, 0.12058552E+004, 0.00000000E+000, 0.78169284E+003, 0.00000000E+000, 0.78184384E+003, 0.78154938E+003, 0.30894733E-001, 0.30894733E-001, 0.78184298E+003, 0.62813690E+003,
