ISTEP,IPOWER,TIME2,DT,PHI,PERIOD,PINTG,POWDK,Net,Program,Doppler,Axial,Radial,CRDL,Coolant,Fuel,Clad,
1,0, 0.50000000E+000, 0.50000000E+000, 0.10000143E+001, 0.42883498E-004, 0.50000344E+000, 0.54682605E-001, 0.13260830E-004, 0.00000000E+000,-0.11415737E-005, 0.00000000E+000, 0.00000000E+000,-0.11672953E-010, 0.14402415E-004, 0.00000000E+000, 0.00000000E+000,
2,0, 0.10000000E+001, 0.50000000E+000, 0.10000358E+001, 0.50368824E-004, 0.10000156E+001, 0.54682651E-001, 0.31177988E-004, 0.00000000E+000,-0.58663559E-005,-0.33041524E-005,-0.13318305E-005, 0.40502320E-010, 0.41680286E-004, 0.00000000E+000, 0.00000000E+000,
3,0, 0.15000000E+001, 0.50000000E+000, 0.10000545E+001, 0.34376515E-004, 0.15000384E+001, 0.54682728E-001, 0.43573584E-004, 0.00000000E+000,-0.13194845E-004,-0.11165485E-004,-0.43583237E-005,-0.30670953E-007, 0.72322909E-004, 0.00000000E+000, 0.00000000E+000,
4,0, 0.20000000E+001, 0.50000000E+000, 0.10000722E+001, 0.34567840E-004, 0.20000701E+001, 0.54682825E-001, 0.53909727E-004, 0.00000000E+000,-0.21607264E-004,-0.20805489E-004,-0.91332825E-005,-0.19533462E-006, 0.10565110E-003, 0.00000000E+000, 0.00000000E+000,
5,0, 0.25000000E+001, 0.50000000E+000, 0.10000848E+001, 0.19872240E-004, 0.25001095E+001, 0.54682935E-001, 0.58385305E-004, 0.00000000E+000,-0.30500726E-004,-0.31257252E-004,-0.14934098E-004,-0.63300103E-006, 0.13571038E-003, 0.00000000E+000, 0.00000000E+000,
6,0, 0.30000000E+001, 0.50000000E+000, 0.10000932E+001, 0.12787385E-004, 0.30001542E+001, 0.54683048E-001, 0.59146180E-004, 0.00000000E+000,-0.38655138E-004,-0.41257416E-004,-0.20885072E-004,-0.14658957E-005, 0.16140970E-003, 0.00000000E+000, 0.00000000E+000,
7,0, 0.35000000E+001, 0.50000000E+000, 0.10000979E+001, 0.55884329E-005, 0.35002021E+001, 0.54683155E-001, 0.56910022E-004, 0.00000000E+000,-0.45690146E-004,-0.49848000E-004,-0.26288666E-004,-0.27920796E-005, 0.18152891E-003, 0.00000000E+000, 0.00000000E+000,
8,0, 0.40000000E+001, 0.50000000E+000, 0.10000998E+001, 0.10194050E-005, 0.40002516E+001, 0.54683253E-001, 0.52925445E-004, 0.00000000E+000,-0.51321057E-004,-0.56799084E-004,-0.30656347E-004,-0.46685071E-005, 0.19637044E-003, 0.00000000E+000, 0.00000000E+000,
9,0, 0.45000000E+001, 0.50000000E+000, 0.10000991E+001,-0.40210569E-005, 0.45003014E+001, 0.54683340E-001, 0.47435755E-004, 0.00000000E+000,-0.55522103E-004,-0.62000429E-004,-0.33736788E-004,-0.71081660E-005, 0.20580324E-003, 0.00000000E+000, 0.00000000E+000,
10,0, 0.50000000E+001, 0.50000000E+000, 0.10000963E+001,-0.77148837E-005, 0.50003503E+001, 0.54683413E-001, 0.41016467E-004, 0.00000000E+000,-0.58279119E-004,-0.65503565E-004,-0.35448997E-004,-0.10091302E-004, 0.21033945E-003, 0.00000000E+000, 0.00000000E+000,
