TIME2,ZFuel(JCLN|Peak),ZClad(JNEN|Peak),ZCoolAVG(JNCN|Peak),ZStructure(JNSN),ZRadProf,TCoolAvg(JNCN|Peak),TClad(JNEN|Peak),TFuel(JCLN|Peak),TSat @ TCool,TFRAC,TCladMid(JNEN on MZC),Clad Melt?,TCoolMZC(JNCN),TStrInnr(JNSN),Outlet Flow,Inlet Flow,Outlet Temp,Inlet Temp,
 0.50000000E+000, 0.16875000E+001, 0.19375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.78145032E+003, 0.80715371E+003, 0.96229617E+003, 0.12317283E+004, 0.00000000E+000, 0.78173424E+003, 0.00000000E+000, 0.78145039E+003, 0.78139044E+003, 0.51192638E+000, 0.51192638E+000, 0.78144986E+003, 0.62815000E+003,
 0.10000000E+001, 0.16875000E+001, 0.19375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.78145923E+003, 0.80716681E+003, 0.96230158E+003, 0.12317260E+004, 0.00000000E+000, 0.78174170E+003, 0.00000000E+000, 0.78145943E+003, 0.78139829E+003, 0.51186388E+000, 0.51186388E+000, 0.78145769E+003, 0.62815000E+003,
 0.15000000E+001, 0.16875000E+001, 0.19375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.78147425E+003, 0.80718483E+003, 0.96231398E+003, 0.12317225E+004, 0.00000000E+000, 0.78175525E+003, 0.00000000E+000, 0.78147453E+003, 0.78141175E+003, 0.51179588E+000, 0.51179588E+000, 0.78147169E+003, 0.62815000E+003,
 0.20000000E+001, 0.16875000E+001, 0.19375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.78149302E+003, 0.80720546E+003, 0.96233128E+003, 0.12317183E+004, 0.00000000E+000, 0.78177293E+003, 0.00000000E+000, 0.78149337E+003, 0.78142891E+003, 0.51173115E+000, 0.51173115E+000, 0.78148966E+003, 0.62815000E+003,
 0.25000000E+001, 0.16875000E+001, 0.19375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.78151412E+003, 0.80722703E+003, 0.96235182E+003, 0.12317145E+004, 0.00000000E+000, 0.78179330E+003, 0.00000000E+000, 0.78151452E+003, 0.78144858E+003, 0.51167942E+000, 0.51167942E+000, 0.78151020E+003, 0.62814996E+003,
 0.30000000E+001, 0.16875000E+001, 0.19375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.78153524E+003, 0.80724699E+003, 0.96237349E+003, 0.12317112E+004, 0.00000000E+000, 0.78181427E+003, 0.00000000E+000, 0.78153563E+003, 0.78146870E+003, 0.51163878E+000, 0.51163878E+000, 0.78153117E+003, 0.62814949E+003,
 0.35000000E+001, 0.16875000E+001, 0.19375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.78155494E+003, 0.80726475E+003, 0.96239438E+003, 0.12317083E+004, 0.00000000E+000, 0.78183421E+003, 0.00000000E+000, 0.78155531E+003, 0.78148789E+003, 0.51160761E+000, 0.51160761E+000, 0.78155097E+003, 0.62814830E+003,
 0.40000000E+001, 0.16875000E+001, 0.19375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.78157251E+003, 0.80727967E+003, 0.96241335E+003, 0.12317059E+004, 0.00000000E+000, 0.78185227E+003, 0.00000000E+000, 0.78157284E+003, 0.78150540E+003, 0.51158380E+000, 0.51158380E+000, 0.78156884E+003, 0.62814626E+003,
 0.45000000E+001, 0.16875000E+001, 0.19375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.78158743E+003, 0.80729171E+003, 0.96242971E+003, 0.12317038E+004, 0.00000000E+000, 0.78186784E+003, 0.00000000E+000, 0.78158771E+003, 0.78152063E+003, 0.51156565E+000, 0.51156565E+000, 0.78158418E+003, 0.62814339E+003,
 0.50000000E+001, 0.16875000E+001, 0.19375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.78159959E+003, 0.80730076E+003, 0.96244303E+003, 0.12317020E+004, 0.00000000E+000, 0.78188072E+003, 0.00000000E+000, 0.78159983E+003, 0.78153340E+003, 0.51155181E+000, 0.51155181E+000, 0.78159684E+003, 0.62813979E+003,
 0.55000000E+001, 0.16875000E+001, 0.19375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.78160891E+003, 0.80730696E+003, 0.96245313E+003, 0.12317005E+004, 0.00000000E+000, 0.78189080E+003, 0.00000000E+000, 0.78160910E+003, 0.78154351E+003, 0.51154125E+000, 0.51154125E+000, 0.78160669E+003, 0.62813560E+003,
 0.60000000E+001, 0.16875000E+001, 0.19375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.78161552E+003, 0.80731042E+003, 0.96245996E+003, 0.12316992E+004, 0.00000000E+000, 0.78189813E+003, 0.00000000E+000, 0.78161566E+003, 0.78155103E+003, 0.51153318E+000, 0.51153318E+000, 0.78161383E+003, 0.62813100E+003,
 0.65000000E+001, 0.16875000E+001, 0.19375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.78161954E+003, 0.80731140E+003, 0.96246361E+003, 0.12316981E+004, 0.00000000E+000, 0.78190285E+003, 0.00000000E+000, 0.78161963E+003, 0.78155604E+003, 0.51152701E+000, 0.51152701E+000, 0.78161837E+003, 0.62812617E+003,
 0.70000000E+001, 0.16875000E+001, 0.19375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.78162120E+003, 0.80731014E+003, 0.96246425E+003, 0.12316972E+004, 0.00000000E+000, 0.78190516E+003, 0.00000000E+000, 0.78162125E+003, 0.78155869E+003, 0.51152230E+000, 0.51152230E+000, 0.78162053E+003, 0.62812128E+003,
 0.75000000E+001, 0.16875000E+001, 0.19375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.78162076E+003, 0.80730694E+003, 0.96246212E+003, 0.12316965E+004, 0.00000000E+000, 0.78190530E+003, 0.00000000E+000, 0.78162076E+003, 0.78155922E+003, 0.51151869E+000, 0.51151869E+000, 0.78162054E+003, 0.62811648E+003,
 0.80000000E+001, 0.16875000E+001, 0.19375000E+001, 0.31900000E+001, 0.00000000E+000, 0.00000000E+000, 0.78161866E+003, 0.80730210E+003, 0.96245753E+003, 0.12156998E+004, 0.00000000E+000, 0.78190352E+003, 0.00000000E+000, 0.78161846E+003, 0.78155786E+003, 0.51151593E+000, 0.51151593E+000, 0.78161866E+003, 0.62811186E+003,
 0.85000000E+001, 0.16875000E+001, 0.19375000E+001, 0.31900000E+001, 0.00000000E+000, 0.00000000E+000, 0.78161516E+003, 0.80729593E+003, 0.96245081E+003, 0.12156993E+004, 0.00000000E+000, 0.78190013E+003, 0.00000000E+000, 0.78161461E+003, 0.78155487E+003, 0.51151383E+000, 0.51151383E+000, 0.78161519E+003, 0.62810752E+003,
 0.90000000E+001, 0.16875000E+001, 0.19375000E+001, 0.31900000E+001, 0.00000000E+000, 0.00000000E+000, 0.78161035E+003, 0.80728871E+003, 0.96244231E+003, 0.12156990E+004, 0.00000000E+000, 0.78189540E+003, 0.00000000E+000, 0.78160950E+003, 0.78155053E+003, 0.51151224E+000, 0.51151224E+000, 0.78161040E+003, 0.62810348E+003,
 0.95000000E+001, 0.16875000E+001, 0.19375000E+001, 0.31900000E+001, 0.00000000E+000, 0.00000000E+000, 0.78160449E+003, 0.80728072E+003, 0.96243236E+003, 0.12156987E+004, 0.00000000E+000, 0.78188959E+003, 0.00000000E+000, 0.78160339E+003, 0.78154509E+003, 0.51151103E+000, 0.51151103E+000, 0.78160456E+003, 0.62809977E+003,
 0.10000000E+002, 0.16875000E+001, 0.19375000E+001, 0.31900000E+001, 0.00000000E+000, 0.00000000E+000, 0.78159783E+003, 0.80727218E+003, 0.96242130E+003, 0.12156984E+004, 0.00000000E+000, 0.78188296E+003, 0.00000000E+000, 0.78159654E+003, 0.78153879E+003, 0.51151011E+000, 0.51151011E+000, 0.78159791E+003, 0.62809639E+003,
 0.10500000E+002, 0.16875000E+001, 0.19375000E+001, 0.31900000E+001, 0.00000000E+000, 0.00000000E+000, 0.78159058E+003, 0.80726328E+003, 0.96240940E+003, 0.12156982E+004, 0.00000000E+000, 0.78187573E+003, 0.00000000E+000, 0.78158914E+003, 0.78153186E+003, 0.51150943E+000, 0.51150943E+000, 0.78159068E+003, 0.62809332E+003,
 0.11000000E+002, 0.16875000E+001, 0.19375000E+001, 0.31900000E+001, 0.00000000E+000, 0.00000000E+000, 0.78158293E+003, 0.80725418E+003, 0.96239691E+003, 0.12156980E+004, 0.00000000E+000, 0.78186808E+003, 0.00000000E+000, 0.78158138E+003, 0.78152446E+003, 0.51150892E+000, 0.51150892E+000, 0.78158303E+003, 0.62809055E+003,
 0.11500000E+002, 0.16875000E+001, 0.19375000E+001, 0.31900000E+001, 0.00000000E+000, 0.00000000E+000, 0.78157503E+003, 0.80724501E+003, 0.96238405E+003, 0.12156979E+004, 0.00000000E+000, 0.78186018E+003, 0.00000000E+000, 0.78157342E+003, 0.78151677E+003, 0.51150855E+000, 0.51150855E+000, 0.78157514E+003, 0.62808805E+003,
 0.12000000E+002, 0.16875000E+001, 0.19375000E+001, 0.31900000E+001, 0.00000000E+000, 0.00000000E+000, 0.78156702E+003, 0.80723587E+003, 0.96237098E+003, 0.12156978E+004, 0.00000000E+000, 0.78185214E+003, 0.00000000E+000, 0.78156536E+003, 0.78150891E+003, 0.51150821E+000, 0.51150821E+000, 0.78156713E+003, 0.62808579E+003,
 0.12500000E+002, 0.16875000E+001, 0.19375000E+001, 0.31900000E+001, 0.00000000E+000, 0.00000000E+000, 0.78155898E+003, 0.80722684E+003, 0.96235788E+003, 0.12156977E+004, 0.00000000E+000, 0.78184409E+003, 0.00000000E+000, 0.78155731E+003, 0.78150100E+003, 0.51150805E+000, 0.51150805E+000, 0.78155910E+003, 0.62808362E+003,
 0.13000000E+002, 0.16875000E+001, 0.19375000E+001, 0.31900000E+001, 0.00000000E+000, 0.00000000E+000, 0.78155100E+003, 0.80721793E+003, 0.96234479E+003, 0.12156976E+004, 0.00000000E+000, 0.78183608E+003, 0.00000000E+000, 0.78154932E+003, 0.78149309E+003, 0.51150789E+000, 0.51150789E+000, 0.78155112E+003, 0.62808182E+003,
 0.13500000E+002, 0.16875000E+001, 0.19375000E+001, 0.31900000E+001, 0.00000000E+000, 0.00000000E+000, 0.78154311E+003, 0.80720919E+003, 0.96233180E+003, 0.12156976E+004, 0.00000000E+000, 0.78182816E+003, 0.00000000E+000, 0.78154144E+003, 0.78148526E+003, 0.51150778E+000, 0.51150778E+000, 0.78154323E+003, 0.62808019E+003,
 0.14000000E+002, 0.16875000E+001, 0.19375000E+001, 0.31900000E+001, 0.00000000E+000, 0.00000000E+000, 0.78153537E+003, 0.80720067E+003, 0.96231899E+003, 0.12156976E+004, 0.00000000E+000, 0.78182039E+003, 0.00000000E+000, 0.78153372E+003, 0.78147754E+003, 0.51150769E+000, 0.51150769E+000, 0.78153548E+003, 0.62807869E+003,
 0.14500000E+002, 0.16875000E+001, 0.19375000E+001, 0.31900000E+001, 0.00000000E+000, 0.00000000E+000, 0.78152781E+003, 0.80719242E+003, 0.96230644E+003, 0.12156975E+004, 0.00000000E+000, 0.78181280E+003, 0.00000000E+000, 0.78152620E+003, 0.78146999E+003, 0.51150762E+000, 0.51150762E+000, 0.78152792E+003, 0.62807733E+003,
